name,category,link
Process Optimization,Problems,https://en.wikipedia.org/wiki/Process Optimization
Equipment and Process Efficiency Improvement ,Problems,https://en.wikipedia.org/wiki/Equipment
Real-time Production and Process Monitoring Analysis and Supervision ,Problems,https://en.wikipedia.org/wiki/Real-time
Predictive Maintenance ,Problems,https://en.wikipedia.org/wiki/Predictive Maintenance
Production Planning and Scheduling ,Problems,https://en.wikipedia.org/wiki/Production Planning
Fully Automated Production Facilities ,Problems,https://en.wikipedia.org/wiki/Fully Automated
Legacy Systems Modernization and Retrofitting ,Problems,https://en.wikipedia.org/wiki/Legacy Systems
Commissioning Process ,Problems,https://en.wikipedia.org/wiki/Commissioning
Worker Safety Improvement and Accident Prevention ,Problems,https://en.wikipedia.org/wiki/Worker Safety
Smart PPE ,Problems,https://en.wikipedia.org/wiki/Smart
Worker Attention and Mental State Monitoring ,Problems,https://en.wikipedia.org/wiki/Worker
People Counting Analysis and Crowd Detection ,Problems,https://en.wikipedia.org/wiki/People Counting
Remote Operation ,Problems,https://en.wikipedia.org/wiki/Remote Operation
Supply Chain ,Problems,https://en.wikipedia.org/wiki/Supply Chain
Vertical Integration ,Problems,https://en.wikipedia.org/wiki/Vertical Integration
Horizontal Integration ,Problems,https://en.wikipedia.org/wiki/Horizontal Integration
Production on Demand ,Problems,https://en.wikipedia.org/wiki/Production
Smart Warehouse and Inventory Management ,Problems,https://en.wikipedia.org/wiki/Smart
Intralogistics 4.0 - Material Flow Control ,Problems,https://en.wikipedia.org/wiki/Material Flow
Supply Chain Transparency and Reliability Improvement ,Problems,https://en.wikipedia.org/wiki/Supply Chain
Production Output and Demand Forecasting ,Problems,https://en.wikipedia.org/wiki/Production
Mass Customization ,Problems,https://en.wikipedia.org/wiki/Mass Customization
Quality Assurance ,Problems,https://en.wikipedia.org/wiki/Quality Assurance
Sustainable Industrial Environment ,Problems,https://en.wikipedia.org/wiki/Sustainable
Employee Training and Assistance in Worker’s Tasks ,Problems,https://en.wikipedia.org/wiki/Employee Training
Knowledge Management ,Problems,https://en.wikipedia.org/wiki/Knowledge Management
Product Servitization ,Problems,https://en.wikipedia.org/wiki/Product
Usability Improvement ,Problems,https://en.wikipedia.org/wiki/Usability
Smart Products ,Problems,https://en.wikipedia.org/wiki/Smart Products
Cost and Number of Parts or Components Reduction ,Problems,https://en.wikipedia.org/wiki/Cost
After-Sales Service ,Problems,https://en.wikipedia.org/wiki/After-Sales
Big Data,Technology,https://en.wikipedia.org/wiki/Big Data
Big Data Frameworks,Technology,https://en.wikipedia.org/wiki/Big Data
Apache Hadoop,Technology,https://en.wikipedia.org/wiki/Apache Hadoop
Data Sources/Ingestion,Technology,https://en.wikipedia.org/wiki/Data
Streaming and Messaging,Technology,https://en.wikipedia.org/wiki/Streaming
Apache Kafka,Technology,https://en.wikipedia.org/wiki/Apache Kafka
Apache Flume,Technology,https://en.wikipedia.org/wiki/Apache Flume
Orchestration and Pipelines,Technology,https://en.wikipedia.org/wiki/Orchestration
Talend Data Fabric,Technology,https://en.wikipedia.org/wiki/Talend
Query/Data Flow,Technology,https://en.wikipedia.org/wiki/Query
Apache Drill,Technology,https://en.wikipedia.org/wiki/Apache Drill
Presto,Technology,https://en.wikipedia.org/wiki/Presto
Impala,Technology,https://en.wikipedia.org/wiki/Impala
Data Storage,Technology,https://en.wikipedia.org/wiki/Data Storage
Databases,Technology,https://en.wikipedia.org/wiki/Databases
Relational Databases,Technology,https://en.wikipedia.org/wiki/Relational Databases
Microsoft SQL Server,Technology,https://en.wikipedia.org/wiki/Microsoft SQL Server
MySQL DB,Technology,https://en.wikipedia.org/wiki/MySQL
MariaDB,Technology,https://en.wikipedia.org/wiki/MariaDB
PostgreSQL,Technology,https://en.wikipedia.org/wiki/PostgreSQL
SQLite3,Technology,https://en.wikipedia.org/wiki/SQLite3
NewSQL DB,Technology,https://en.wikipedia.org/wiki/NewSQL
CrateDB,Technology, 
NoSQL Databases,Technology,https://en.wikipedia.org/wiki/NoSQL
Document databases,Technology,https://en.wikipedia.org/wiki/Document
MongoDB,Technology,https://en.wikipedia.org/wiki/MongoDB
CouchDB,Technology,https://en.wikipedia.org/wiki/CouchDB
Time Series Databases (TSDBs),Technology,https://en.wikipedia.org/wiki/Time Series
Apache Druid,Technology,https://en.wikipedia.org/wiki/Apache
influxDB,Technology, 
Column-Oriented Databases,Technology,https://en.wikipedia.org/wiki/Column-Oriented Databases
Apache Cassandra,Technology,https://en.wikipedia.org/wiki/Apache Cassandra
Data Warehouses,Technology,https://en.wikipedia.org/wiki/Data Warehouses
Apache Hive,Technology,https://en.wikipedia.org/wiki/Apache Hive
Data Analytics,Technology,https://en.wikipedia.org/wiki/Data Analytics
Unified Data Analytics Engines,Technology,https://en.wikipedia.org/wiki/Unified
Apache Spark,Technology,https://en.wikipedia.org/wiki/Apache Spark
Unified stream-processing and batch-processing frameworks,Technology,https://en.wikipedia.org/wiki/Unified
Apache Flink,Technology,https://en.wikipedia.org/wiki/Apache Flink
Apache Storm,Technology,https://en.wikipedia.org/wiki/Apache Storm
Business Intelligence Tools,Technology,https://en.wikipedia.org/wiki/Business Intelligence Tools
Microsoft PowerBI,Technology,https://en.wikipedia.org/wiki/Microsoft
IBM SPSS Statistics,Technology,https://en.wikipedia.org/wiki/IBM SPSS Statistics
QlikView/Qlik Sense,Technology,https://en.wikipedia.org/wiki/QlikView
Data Visualization Tools and Platforms,Technology,https://en.wikipedia.org/wiki/Data Visualization
Bokeh,Technology,https://en.wikipedia.org/wiki/Bokeh
Wiz,Technology,https://en.wikipedia.org/wiki/Wiz
Tableau,Technology,https://en.wikipedia.org/wiki/Tableau
Freeboard dashboard,Technology,https://en.wikipedia.org/wiki/Freeboard
Ubidots platform,Technology,https://en.wikipedia.org/wiki/platform
Kibana,Technology,https://en.wikipedia.org/wiki/Kibana
Grafana,Technology, 
Logging and Monitoring,Technology,https://en.wikipedia.org/wiki/Logging
ElasticSearch Logstash,Technology,https://en.wikipedia.org/wiki/ElasticSearch
Spreadsheet Applications,Technology,https://en.wikipedia.org/wiki/Spreadsheet
PowerPivot,Technology,https://en.wikipedia.org/wiki/PowerPivot
Data Mining,Technology,https://en.wikipedia.org/wiki/Data Mining
Python,Technology,https://en.wikipedia.org/wiki/Python
MATLAB,Technology,https://en.wikipedia.org/wiki/MATLAB
R Programming,Technology,https://en.wikipedia.org/wiki/R Programming
Process Mining,Technology,https://en.wikipedia.org/wiki/Process Mining
AI,Technology,https://en.wikipedia.org/wiki/AI
Machine Learning,Technology,https://en.wikipedia.org/wiki/Machine Learning
Supervised Learning,Technology,https://en.wikipedia.org/wiki/Supervised Learning
Regression,Technology,https://en.wikipedia.org/wiki/Regression
Linear Regression,Technology,https://en.wikipedia.org/wiki/Linear Regression
Polynomial Regression,Technology,https://en.wikipedia.org/wiki/Polynomial Regression
Support Vector Regression (SVR),Technology,https://en.wikipedia.org/wiki/Support Vector Regression
Gaussian process regression (GPR),Technology,https://en.wikipedia.org/wiki/Gaussian process
Decision Tree Regression,Technology,https://en.wikipedia.org/wiki/Decision Tree
Lasso Regression,Technology,https://en.wikipedia.org/wiki/Lasso Regression
Loess,Technology,https://en.wikipedia.org/wiki/Loess
Bayesian Linear Regression (BLR),Technology,https://en.wikipedia.org/wiki/Bayesian Linear Regression
Classification,Technology,https://en.wikipedia.org/wiki/Classification
K Nearest Neighbour (KNN)/Case-Based Reasoning (CBR),Technology,https://en.wikipedia.org/wiki/K Nearest Neighbour
Logistic Regression,Technology,https://en.wikipedia.org/wiki/Logistic Regression
Decision Tree Classifier (DTC),Technology,https://en.wikipedia.org/wiki/Decision Tree
Support Vector Machine (SVM),Technology,https://en.wikipedia.org/wiki/Support Vector Machine
Gaussian Naive Bayes Classifier,Technology,https://en.wikipedia.org/wiki/Gaussian Naive Bayes
Gaussian Processes Classifier,Technology,https://en.wikipedia.org/wiki/Gaussian Processes
Ensemble Methods,Technology,https://en.wikipedia.org/wiki/Ensemble Methods
Bagging,Technology,https://en.wikipedia.org/wiki/Bagging
Random Forest,Technology,https://en.wikipedia.org/wiki/Random Forest
Bagged Decision Trees,Technology,https://en.wikipedia.org/wiki/Bagged
Decision Jungle (DJ),Technology,https://en.wikipedia.org/wiki/Decision
Boosting,Technology,https://en.wikipedia.org/wiki/Boosting
AdaBoost,Technology,https://en.wikipedia.org/wiki/AdaBoost
XGBoost,Technology,https://en.wikipedia.org/wiki/XGBoost
Gradient Boosted Decision Trees,Technology,https://en.wikipedia.org/wiki/Gradient Boosted Decision Trees
Extreme Learning,Technology,https://en.wikipedia.org/wiki/Extreme
Unsupervised Learning,Technology,https://en.wikipedia.org/wiki/Unsupervised Learning
Data Clustering,Technology,https://en.wikipedia.org/wiki/Data Clustering
K-means clustering,Technology,https://en.wikipedia.org/wiki/K-means clustering
